cik	ticker	year
1018724	AMZN	1999
1018724	AMZN	2000
1018724	AMZN	2007
1018724	AMZN	2008
1018724	AMZN	2009
1018724	AMZN	2010
1018724	AMZN	2014
1018724	AMZN	2015
1018724	AMZN	2016
1018724	AMZN	2017
1018724	AMZN	2018
1018724	AMZN	2019
1018724	AMZN	2020
1018724	AMZN	2021
1018724	AMZN	2022
320193	AAPL	1994
320193	AAPL	1995
320193	AAPL	1996
320193	AAPL	1997
320193	AAPL	1999
320193	AAPL	2000
320193	AAPL	2002
320193	AAPL	2003
320193	AAPL	2004
320193	AAPL	2006
320193	AAPL	2007
320193	AAPL	2008
95585	PTMK	1998
95585	PTMK	2002
95585	PTMK	2003
95585	PTMK	2005
95585	PTMK	2006
95585	PTMK	2007
96223	LUK	1994
96223	LUK	1995
96223	LUK	1996
96223	LUK	1999
96223	LUK	2000
96223	LUK	2002
96223	LUK	2003
96223	LUK	2004
96223	LUK	2005
96223	LUK	2006
96223	LUK	2007
96223	LUK	2008
96223	LUK	2009
96223	LUK	2010
9626	BK	1997
9626	BK	1998
9626	BK	1999
9626	BK	2000
9626	BK	2001
9626	BK	2002
96287	BBA	2001
96287	BBA	2002
96289	RSH	1994
96289	RSH	1995
96289	RSH	1996
96289	RSH	1997
96289	RSH	1998
96289	RSH	1999
96289	RSH	2000
96289	RSH	2001
96289	RSH	2002
96289	RSH	2003
96289	RSH	2004
96289	RSH	2005
96289	RSH	2008
96289	RSH	2009
96289	RSH	2010
96289	RSH	2011
96289	RSH	2012
96289	RSH	2013
96289	RSH	2014
96638	ADVNB	1994
96638	ADVNB	1995
96638	ADVNB	1996
96638	ADVNB	1997
96638	ADVNB	1998
96638	ADVNB	2002
96638	ADVNB	2003
96763	PULS	1995
96763	PULS	1996
96763	PULS	1997
96763	PULS	1998
96763	PULS	1999
96763	PULS	2000
96763	PULS	2001
96763	PULS	2002
96763	PULS	2003
96763	PULS	2004
96763	PULS	2005
96763	PULS	2006
96763	PULS	2007
96763	PULS	2010
96763	PULS	2011
96763	PULS	2015
96988	MTY	1998
96988	MTY	1999
96988	MTY	2000
96988	MTY	2001
96988	MTY	2003
96988	MTY	2004
96988	MTY	2005
97196	AMIC	1999
97196	AMIC	2001
97196	AMIC	2002
97196	AMIC	2004
97196	AMIC	2005
9779	FA	1994
9779	FA	1995
9779	FA	1996
9779	FA	1997
9779	FA	1998
9779	FA	1999
9779	FA	2000
9779	FA	2001
9779	FA	2002
9779	FA	2003
9779	FA	2004
9779	FA	2005
9801	BN	2002
98544	RUM	1996
98544	RUM	1997
98544	RUM	2000
98544	RUM	2002
98544	RUM	2006
98618	ALAN	1995
98618	ALAN	1996
98618	ALAN	1997
98618	ALAN	1998
98618	ALAN	2009
98618	ALAN	2010
98618	ALAN	2011
98618	ALAN	2012
98618	ALAN	2013
98618	ALAN	2014
98618	ALAN	2015
98618	ALAN	2016
9892	BCR	1994
9892	BCR	1995
9892	BCR	1997
9892	BCR	1998
9892	BCR	1999
9892	BCR	2000
9892	BCR	2001
9892	BCR	2004
9892	BCR	2007
9892	BCR	2008
9892	BCR	2009
9892	BCR	2011
9892	BCR	2012
9892	BCR	2013
9892	BCR	2014
9892	BCR	2015
9892	BCR	2016
9892	BCR	2017
99047	NYFXE	2000
99047	NYFXE	2001
99047	NYFXE	2002
99047	NYFXE	2003
99047	NYFXE	2004
99047	NYFXE	2005
99047	NYFXE	2007
99047	NYFXE	2009
99249	RAFI	1996
99249	RAFI	2001
99249	RAFI	2002
99359	BZC	1994
99359	BZC	1995
99359	BZC	2001
99359	BZC	2003
99359	BZC	2004
99359	BZC	2007
99359	BZC	2008
99359	BZC	2012
9984	B	2011
